parameter_name,year,value
humidity,2010,82.79
humidity,2010,82.72
humidity,2010,82.64
humidity,2010,82.57
humidity,2010,82.49
humidity,2010,82.42
humidity,2010,82.34
humidity,2010,82.27
humidity,2010,82.19
humidity,2010,82.12
humidity,2010,82.04
humidity,2010,81.97
humidity,2010,81.89
humidity,2010,81.82
humidity,2010,81.74
humidity,2010,81.67
humidity,2010,81.59
humidity,2010,81.52
humidity,2010,81.44
humidity,2010,81.37
humidity,2010,81.29
humidity,2010,81.22
humidity,2010,81.14
humidity,2010,81.07
humidity,2010,80.99
humidity,2010,80.92
humidity,2010,80.84
humidity,2010,80.77
humidity,2010,80.69
humidity,2010,80.62
humidity,2010,80.54
humidity,2010,80.47
humidity,2010,80.39
humidity,2010,80.32
humidity,2010,80.24
humidity,2010,80.17
humidity,2010,80.09
humidity,2010,80.02
humidity,2010,79.94
humidity,2010,79.87
humidity,2010,79.79
humidity,2010,79.72
humidity,2010,79.64
humidity,2010,79.57
humidity,2010,79.49
humidity,2010,79.42
humidity,2010,79.34
humidity,2010,79.27
humidity,2010,79.19
humidity,2010,79.12
humidity,2010,79.04
humidity,2010,78.97
humidity,2010,78.89
humidity,2010,78.82
humidity,2010,78.74
humidity,2010,78.67
humidity,2010,78.59
humidity,2010,78.52
humidity,2010,78.44
humidity,2010,78.37
humidity,2010,78.29
humidity,2010,84.37
humidity,2010,84.29
humidity,2010,84.22
humidity,2010,84.14
humidity,2010,84.07
humidity,2010,83.99
humidity,2010,83.92
humidity,2010,83.84
humidity,2010,83.77
humidity,2010,83.69
humidity,2010,83.62
humidity,2010,83.54
humidity,2010,83.47
humidity,2010,83.39
humidity,2010,83.32
humidity,2010,83.24
humidity,2010,83.17
humidity,2010,83.09
humidity,2010,83.02
humidity,2010,82.94
humidity,2010,82.87
humidity,2010,82.79
humidity,2010,82.72
humidity,2010,82.64
humidity,2010,82.57
humidity,2010,82.49
humidity,2010,82.42
humidity,2010,82.34
humidity,2010,82.27
humidity,2010,82.19
humidity,2010,82.12
humidity,2010,82.04
humidity,2010,81.97
humidity,2010,81.89
humidity,2010,81.82
humidity,2010,81.74
humidity,2010,81.67
humidity,2010,81.59
humidity,2010,81.52
humidity,2010,81.44
humidity,2010,81.37
humidity,2010,81.29
humidity,2010,81.22
humidity,2010,81.14
humidity,2010,81.07
humidity,2010,80.99
humidity,2010,80.92
humidity,2010,80.84
humidity,2010,80.77
humidity,2010,80.69
humidity,2010,80.62
humidity,2010,80.54
humidity,2010,80.47
humidity,2010,80.39
humidity,2010,80.32
humidity,2010,80.24
humidity,2010,80.17
humidity,2010,80.09
humidity,2010,80.02
humidity,2010,79.94
humidity,2010,79.87
humidity,2010,79.79
humidity,2010,79.72
humidity,2010,79.64
humidity,2010,79.57
humidity,2010,79.49
humidity,2010,79.42
humidity,2010,79.34
humidity,2010,79.27
humidity,2010,79.19
humidity,2010,79.12
humidity,2010,79.04
humidity,2010,78.97
humidity,2010,78.89
humidity,2010,78.82
humidity,2010,78.74
humidity,2010,78.67
humidity,2010,78.59
humidity,2010,78.52
humidity,2010,78.44
humidity,2010,78.37
humidity,2010,78.29
humidity,2010,78.22
humidity,2010,85.34
humidity,2010,85.26
humidity,2010,85.19
humidity,2010,85.11
humidity,2010,85.04
humidity,2010,84.96
humidity,2010,84.89
humidity,2010,84.81
humidity,2010,84.74
humidity,2010,84.66
humidity,2010,84.59
humidity,2010,84.51
humidity,2010,84.44
humidity,2010,84.37
humidity,2010,84.29
humidity,2010,84.22
humidity,2010,84.14
humidity,2010,84.07
humidity,2010,83.99
humidity,2010,83.92
humidity,2010,83.84
humidity,2010,83.77
humidity,2010,83.69
humidity,2010,83.62
humidity,2010,83.54
humidity,2010,83.47
humidity,2010,83.39
humidity,2010,83.32
humidity,2010,83.24
humidity,2010,83.17
humidity,2010,83.09
humidity,2010,83.02
humidity,2010,82.94
humidity,2010,82.87
humidity,2010,82.79
humidity,2010,82.72
humidity,2010,82.64
humidity,2010,82.57
humidity,2010,82.49
humidity,2010,82.42
humidity,2010,82.34
humidity,2010,82.27
humidity,2010,82.19
humidity,2010,82.12
humidity,2010,82.04
humidity,2010,81.97
humidity,2010,81.89
humidity,2010,81.82
humidity,2010,81.74
humidity,2010,81.67
humidity,2010,81.59
humidity,2010,81.52
humidity,2010,81.44
humidity,2010,81.37
humidity,2010,81.29
humidity,2010,81.22
humidity,2010,81.14
humidity,2010,81.07
humidity,2010,80.99
humidity,2010,80.92
humidity,2010,80.84
humidity,2010,80.77
humidity,2010,80.69
humidity,2010,80.62
humidity,2010,80.54
humidity,2010,80.47
humidity,2010,80.39
humidity,2010,80.32
humidity,2010,80.24
humidity,2010,80.17
humidity,2010,80.09
humidity,2010,80.02
humidity,2010,79.94
humidity,2010,79.87
humidity,2010,79.79
humidity,2010,79.72
humidity,2010,79.64
humidity,2010,79.57
humidity,2010,79.49
humidity,2010,79.42
humidity,2010,79.34
humidity,2010,79.27
humidity,2010,79.19
humidity,2010,79.12
humidity,2010,79.04
humidity,2010,78.97
humidity,2010,78.89
humidity,2010,78.82
humidity,2010,78.74
humidity,2010,78.67
humidity,2010,78.59
humidity,2010,78.52
humidity,2010,78.44
humidity,2010,78.37
humidity,2010,78.29
humidity,2010,86.31
humidity,2010,86.24
humidity,2010,86.16
humidity,2010,86.09
humidity,2010,86.01
humidity,2010,85.94
humidity,2010,85.86
humidity,2010,85.79
humidity,2010,85.71
humidity,2010,85.64
humidity,2010,85.56
humidity,2010,85.49
humidity,2010,85.41
humidity,2010,85.34
humidity,2010,85.26
humidity,2010,85.19
humidity,2010,85.11
humidity,2010,85.04
humidity,2010,84.96
humidity,2010,84.89
humidity,2010,84.81
humidity,2010,84.74
humidity,2010,84.66
humidity,2010,84.59
humidity,2010,84.51
humidity,2010,84.44
humidity,2010,84.37
humidity,2010,84.29
humidity,2010,84.22
humidity,2010,84.14
humidity,2010,84.07
humidity,2010,83.99
