parameter_name,year,value
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1009
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
pressure,2010,1008
