parameter_name,year,value
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,2.341
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-23.23
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-0.4999
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-20.39
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-14.7
radiational,2010,-17.54
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-3.341
radiational,2010,-6.181
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2010,-9.022
radiational,2010,-11.86
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,437
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,434.1
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,405.7
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,405.7
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,431.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,405.7
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
radiational,2011,414.3
radiational,2011,411.4
radiational,2011,408.6
radiational,2011,405.7
radiational,2011,493.8
radiational,2011,491
radiational,2011,488.1
radiational,2011,485.3
radiational,2011,428.5
radiational,2011,425.6
radiational,2011,422.8
radiational,2011,419.9
radiational,2011,417.1
