parameter_name,year,value
rainfall,2010,6.82
rainfall,2010,6.771
rainfall,2010,6.722
rainfall,2010,6.674
rainfall,2010,6.625
rainfall,2010,6.576
rainfall,2010,6.528
rainfall,2010,6.479
rainfall,2010,6.43
rainfall,2010,6.381
rainfall,2010,6.333
rainfall,2010,6.284
rainfall,2010,6.235
rainfall,2010,6.187
rainfall,2010,6.138
rainfall,2010,6.089
rainfall,2010,6.041
rainfall,2010,5.992
rainfall,2010,5.943
rainfall,2010,5.894
rainfall,2010,5.846
rainfall,2010,5.797
rainfall,2010,5.748
rainfall,2010,5.7
rainfall,2010,5.651
rainfall,2010,5.602
rainfall,2010,5.554
rainfall,2010,5.505
rainfall,2010,5.456
rainfall,2010,5.407
rainfall,2010,5.359
rainfall,2010,5.31
rainfall,2010,5.261
rainfall,2010,5.213
rainfall,2010,5.164
rainfall,2010,5.115
rainfall,2010,5.067
rainfall,2010,5.018
rainfall,2010,4.969
rainfall,2010,4.92
rainfall,2010,4.872
rainfall,2010,4.823
rainfall,2010,4.774
rainfall,2010,4.726
rainfall,2010,4.677
rainfall,2010,4.628
rainfall,2010,4.58
rainfall,2010,4.531
rainfall,2010,4.482
rainfall,2010,4.434
rainfall,2010,4.385
rainfall,2010,4.336
rainfall,2010,4.287
rainfall,2010,4.239
rainfall,2010,4.19
rainfall,2010,4.141
rainfall,2010,4.093
rainfall,2010,4.044
rainfall,2010,3.995
rainfall,2010,3.947
rainfall,2010,3.898
rainfall,2010,3.849
rainfall,2010,3.8
rainfall,2010,3.752
rainfall,2010,3.703
rainfall,2010,3.654
rainfall,2010,3.606
rainfall,2010,3.557
rainfall,2010,3.508
rainfall,2010,3.46
rainfall,2010,3.411
rainfall,2010,3.362
rainfall,2010,13.64
rainfall,2010,13.59
rainfall,2010,13.54
rainfall,2010,13.49
rainfall,2010,7.94
rainfall,2010,7.891
rainfall,2010,7.842
rainfall,2010,7.794
rainfall,2010,7.745
rainfall,2010,7.696
rainfall,2010,7.648
rainfall,2010,7.599
rainfall,2010,7.55
rainfall,2010,7.502
rainfall,2010,7.453
rainfall,2010,7.404
rainfall,2010,7.355
rainfall,2010,7.307
rainfall,2010,7.258
rainfall,2010,7.209
rainfall,2010,7.161
rainfall,2010,7.112
rainfall,2010,7.063
rainfall,2010,7.015
rainfall,2010,6.966
rainfall,2010,6.917
rainfall,2010,6.868
rainfall,2010,6.82
rainfall,2010,6.771
rainfall,2010,6.722
rainfall,2010,6.674
rainfall,2010,6.625
rainfall,2010,6.576
rainfall,2010,6.528
rainfall,2010,6.479
rainfall,2010,6.43
rainfall,2010,6.381
rainfall,2010,6.333
rainfall,2010,6.284
rainfall,2010,6.235
rainfall,2010,6.187
rainfall,2010,6.138
rainfall,2010,6.089
rainfall,2010,6.041
rainfall,2010,5.992
rainfall,2010,5.943
rainfall,2010,5.894
rainfall,2010,5.846
rainfall,2010,5.797
rainfall,2010,5.748
rainfall,2010,5.7
rainfall,2010,5.651
rainfall,2010,5.602
rainfall,2010,5.554
rainfall,2010,5.505
rainfall,2010,5.456
rainfall,2010,5.407
rainfall,2010,5.359
rainfall,2010,5.31
rainfall,2010,5.261
rainfall,2010,5.213
rainfall,2010,5.164
rainfall,2010,5.115
rainfall,2010,5.067
rainfall,2010,5.018
rainfall,2010,4.969
rainfall,2010,4.92
rainfall,2010,4.872
rainfall,2010,4.823
rainfall,2010,4.774
rainfall,2010,4.726
rainfall,2010,4.677
rainfall,2010,4.628
rainfall,2010,4.58
rainfall,2010,4.531
rainfall,2010,4.482
rainfall,2010,4.434
rainfall,2010,4.385
rainfall,2010,4.336
rainfall,2010,4.287
rainfall,2010,4.239
rainfall,2010,4.19
rainfall,2010,4.141
rainfall,2010,4.093
rainfall,2010,4.044
rainfall,2010,3.995
rainfall,2010,3.947
rainfall,2010,3.898
rainfall,2010,3.849
rainfall,2010,3.8
rainfall,2010,3.752
rainfall,2010,3.703
rainfall,2010,3.654
rainfall,2010,3.606
rainfall,2010,3.557
rainfall,2010,3.508
rainfall,2010,3.46
rainfall,2010,3.411
rainfall,2010,3.362
rainfall,2010,13.64
rainfall,2010,13.59
rainfall,2010,13.54
rainfall,2010,13.49
rainfall,2010,8.719
rainfall,2010,8.67
rainfall,2010,8.622
rainfall,2010,8.573
rainfall,2010,8.524
rainfall,2010,8.476
rainfall,2010,8.427
rainfall,2010,8.378
rainfall,2010,8.329
rainfall,2010,8.281
rainfall,2010,8.232
rainfall,2010,8.183
rainfall,2010,8.135
rainfall,2010,8.086
rainfall,2010,8.037
rainfall,2010,7.989
rainfall,2010,7.94
rainfall,2010,7.891
rainfall,2010,7.842
rainfall,2010,7.794
rainfall,2010,7.745
rainfall,2010,7.696
rainfall,2010,7.648
rainfall,2010,7.599
rainfall,2010,7.55
rainfall,2010,7.502
rainfall,2010,7.453
rainfall,2010,7.404
rainfall,2010,7.355
rainfall,2010,7.307
rainfall,2010,7.258
rainfall,2010,7.209
rainfall,2010,7.161
rainfall,2010,7.112
rainfall,2010,7.063
rainfall,2010,7.015
rainfall,2010,6.966
rainfall,2010,6.917
rainfall,2010,6.868
rainfall,2010,6.82
rainfall,2010,6.771
rainfall,2010,6.722
rainfall,2010,6.674
rainfall,2010,6.625
rainfall,2010,6.576
rainfall,2010,6.528
rainfall,2010,6.479
rainfall,2010,6.43
rainfall,2010,6.381
rainfall,2010,6.333
rainfall,2010,6.284
rainfall,2010,6.235
rainfall,2010,6.187
rainfall,2010,6.138
rainfall,2010,6.089
rainfall,2010,6.041
rainfall,2010,5.992
rainfall,2010,5.943
rainfall,2010,5.894
rainfall,2010,5.846
rainfall,2010,5.797
rainfall,2010,5.748
rainfall,2010,5.7
rainfall,2010,5.651
rainfall,2010,5.602
rainfall,2010,5.554
rainfall,2010,5.505
rainfall,2010,5.456
rainfall,2010,5.407
rainfall,2010,5.359
rainfall,2010,5.31
rainfall,2010,5.261
rainfall,2010,5.213
rainfall,2010,5.164
