parameter_name,year,value
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.41
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.41
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.41
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.41
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.25
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.24
salinity@0.5,2017,33.23
salinity@0.5,2017,33.23
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.42
salinity@0.5,2017,33.41
salinity@0.5,2017,33.28
salinity@0.5,2017,33.28
salinity@0.5,2017,33.28
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.27
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
salinity@0.5,2017,33.26
