parameter_name,year,value
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.44
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.47
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.42
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.41
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.4
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.39
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.38
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.37
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.36
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.35
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.34
salinity@010,2010,33.33
salinity@010,2010,33.33
salinity@010,2010,33.48
salinity@010,2010,33.48
salinity@010,2010,33.48
salinity@010,2010,33.47
salinity@010,2010,33.47
salinity@010,2010,33.47
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.46
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.45
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.44
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.43
salinity@010,2010,33.42
