parameter_name,year,value
temperature,2010,27.16
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,27.19
temperature,2010,27.16
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,27.16
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,27.16
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,27.16
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,27.13
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,27.1
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,27.07
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,26.79
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,26.79
temperature,2010,27.05
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,26.79
temperature,2010,26.76
temperature,2010,27.02
temperature,2010,26.99
temperature,2010,26.96
temperature,2010,26.93
temperature,2010,26.9
temperature,2010,26.88
temperature,2010,26.85
temperature,2010,26.82
temperature,2010,26.79
temperature,2010,26.76
temperature,2010,26.73
temperature,2010,27.02
temperature,2010,26.99
